OrderNumber,Amount,Products
HKLZM57812,2,新春特餐
HKLZM57812,3,新奥尔良烤鸡腿堡
HKLZM57812,4,圣代（草莓）
HKLZM57829,1,上校鸡块
HKLZM57829,2,新春特餐
HKLZM57795,1,香辣鸡腿堡
HKLZM57795,2,快乐儿童餐A
HKLZM57795,3,快乐儿童餐B
HKLZM57809,1,香辣鸡翅
HKLZM57809,2,圣代（草莓）
HKLZM57802,1,薯条
HKLZM57802,2,香甜粟米棒
HKLZM57801,1,翅桶(10翅1桶)
HKLZM57801,2,双层鸡排堡单人套餐
HKLZM57801,3,九龙金玉珍珠奶茶
HKLZM57807,1,双层鸡排堡单人套餐
HKLZM57807,2,九龙金玉珍珠奶茶
HKLZM57840,1,青金桔鲜果茶
HKLZM57840,2,新春特餐
HKLZM57841,1,青金桔鲜果茶
HKLZM57841,2,新春特餐
HKLZM57837,1,热辣香骨鸡
HKLZM57837,2,超值全家桶
HKLZM57837,3,拿铁咖啡
HKLZM57837,4,新春特餐
HKLZM57810,1,小龙虾双人套餐
HKLZM57810,2,小食拼盘
HKLZM57839,1,热辣香骨鸡
HKLZM57839,2,快乐儿童餐B
HKLZM57839,3,海苔岩烧大鸡腿饭
HKLZM57797,1,愤怒的汉堡套餐
HKLZM57797,2,九龙金玉珍珠奶茶
HKLZM57838,1,热辣香骨鸡
HKLZM57838,2,拿铁咖啡
HKLZM57838,3,超值全家桶
HKLZM57798,1,双层鸡排堡单人套餐
HKLZM57798,2,小食拼盘
HKLZM57798,3,香甜粟米棒
HKLZM57835,1,上校鸡块
HKLZM57835,2,翅桶(10翅1桶)
HKLZM57835,3,双层鸡排堡单人套餐
HKLZM57835,4,九龙金玉珍珠奶茶
HKLZM57788,1,青金桔鲜果茶
HKLZM57788,2,新春特餐
HKLZM57836,1,劲爆鸡米花(大/小)
HKLZM57836,2,恋桃乌龙茶
HKLZM57808,1,翅桶(10翅1桶)
HKLZM57808,2,双层鸡排堡单人套餐
HKLZM57808,3,九龙金玉珍珠奶茶
HKLZM57808,4,香甜粟米棒
HKLZM57799,1,双层鸡排堡单人套餐
HKLZM57799,2,新春特餐
HKLZM57816,1,拿铁咖啡
HKLZM57816,2,新春特餐
HKLZM57832,1,热辣香骨鸡
HKLZM57832,2,快乐儿童餐B
HKLZM57832,3,海苔岩烧大鸡腿饭
HKLZM57830,1,圣代（巧克力）
HKLZM57830,2,新春特餐
HKLZM57806,1,拿铁咖啡
HKLZM57806,2,九龙金玉珍珠奶茶
HKLZM57805,1,拿铁咖啡
HKLZM57805,2,新春特餐
HKLZM57818,1,翅桶(10翅1桶)
HKLZM57818,2,双层鸡排堡单人套餐
HKLZM57861,1,翅桶(10翅1桶)
HKLZM57861,2,双层鸡排堡单人套餐
HKLZM57861,3,九龙金玉珍珠奶茶
HKLZM57884,1,愤怒的汉堡套餐
HKLZM57865,1,劲脆鸡腿堡
HKLZM57865,2,榛果风味拿铁(热)
HKLZM57891,1,圣代（巧克力）
HKLZM57891,2,翅桶(10翅1桶)
HKLZM57891,3,双层鸡排堡单人套餐
HKLZM57891,4,新春特餐
HKLZM57857,1,吮指原味鸡
HKLZM57863,1,珍宝糯米翅
HKLZM57863,2,小龙虾双人套餐
HKLZM57863,3,九龙金玉珍珠奶茶
HKLZM57847,1,嫩牛五方
HKLZM57845,1,嫩牛五方
HKLZM57845,2,九龙金玉珍珠奶茶
HKLZM57885,1,愤怒的汉堡套餐
HKLZM57885,2,小龙虾双人套餐
HKLZM57846,1,嫩牛五方
HKLZM57846,2,快乐儿童餐A
HKLZM57846,3,新春特餐
HKLZM57886,1,快乐儿童餐A
HKLZM57878,1,翅桶(10翅1桶)
HKLZM57878,2,双层鸡排堡单人套餐
HKLZM57878,3,新春特餐
HKLZM57854,1,土豆泥
HKLZM57848,1,海苔岩烧大鸡腿饭
HKLZM57848,2,快乐儿童餐B
HKLZM57848,3,九龙金玉珍珠奶茶
HKLZM57893,1,嫩牛五方
HKLZM57893,2,小食拼盘
HKLZM57893,3,香甜粟米棒
HKLZM57844,1,嫩牛五方
HKLZM57844,2,快乐儿童餐A
HKLZM57844,3,新春特餐
HKLZM57890,1,嫩牛五方
HKLZM57890,2,快乐儿童餐B
HKLZM57890,3,快乐儿童餐A
HKLZM57890,4,劲脆鸡腿堡
HKLZM57889,1,嫩牛五方
HKLZM57889,2,香辣鸡腿堡
HKLZM57889,3,芙蓉荟蔬汤
HKLZM57849,1,吮指原味鸡
HKLZM57849,2,九龙金玉珍珠奶茶
HKLZM57858,1,吮指原味鸡
HKLZM57850,1,吮指原味鸡
HKLZM57850,2,九龙金玉珍珠奶茶
HKLZM57888,1,深海鳕鱼堡
HKLZM57888,2,香辣鸡翅
HKLZM57888,3,劲脆鸡腿堡
HKLZM57874,1,香辣鸡翅
HKLZM57872,1,小龙虾双人套餐
HKLZM57872,2,香甜粟米棒
HKLZM57899,1,劲爆鸡米花(大/小)
HKLZM57899,2,翅桶(10翅1桶)
HKLZM57899,3,双层鸡排堡单人套餐
HKLZM57899,4,九龙金玉珍珠奶茶
HKLZM57875,1,香辣鸡翅
HKLZM57875,2,劲脆鸡腿堡
HKLZM57887,1,百事可乐
HKLZM57887,2,新春特餐
HKLZM57876,1,小龙虾双人套餐
HKLZM57876,2,珍宝糯米翅
HKLZM57876,3,土豆泥
HKLZM57851,1,香辣鸡腿堡
HKLZM57851,2,恋桃乌龙茶
HKLZM57853,1,九龙金玉珍珠奶茶
HKLZM57870,1,劲脆鸡腿堡
HKLZM57870,2,快乐儿童餐B
HKLZM57852,1,翅桶(10翅1桶)
HKLZM57852,2,双层鸡排堡单人套餐
HKLZM57852,3,劲脆鸡腿堡
HKLZM57894,1,薯条
HKLZM57894,2,新春特餐
HKLZM57892,1,薯条
HKLZM57892,2,榛果风味拿铁(热)
HKLZM57892,3,九龙金玉珍珠奶茶
HKLZM57873,1,香辣鸡腿堡
HKLZM57873,2,新奥尔良烤鸡腿堡
HKLZM57873,3,葡式蛋挞
HKLZM57868,1,快乐儿童餐A
HKLZM57855,1,深海鳕鱼堡
HKLZM57855,2,小龙虾双人套餐
HKLZM57855,3,桃之恋乌龙茶
HKLZM57855,4,圣代（草莓）
HKLZM57869,1,快乐儿童餐B
HKLZM57869,2,快乐儿童餐A
HKLZM57898,1,热辣香骨鸡
HKLZM57898,2,新春特餐
HKLZM57897,1,劲脆鸡腿堡
HKLZM57897,2,热辣香骨鸡
HKLZM57867,1,桃之恋乌龙茶
HKLZM57867,2,小龙虾双人套餐
HKLZM57866,1,桃之恋乌龙茶
HKLZM57866,2,小龙虾双人套餐
HKLZM57866,3,新春特餐
HKLZM57879,1,双层鸡排堡单人套餐
HKLZM57879,2,劲脆鸡腿堡
HKLZM57879,3,新春特餐
HKLZM57895,1,圣代（巧克力）
HKLZM57895,2,海苔岩烧大鸡腿饭
HKLZM57895,3,快乐儿童餐B
HKLZM57843,1,青金桔鲜果茶
HKLZM57843,2,新春特餐
HKLZM57843,3,葡式蛋挞
HKLZM57864,1,榛果风味拿铁(热)
HKLZM57864,2,小食拼盘套餐
HKLZM57896,1,劲爆鸡米花(大/小)
HKLZM57896,2,翅桶(10翅1桶)
HKLZM57896,3,双层鸡排堡单人套餐
HKLZM57896,4,小食拼盘
HKLZM57896,5,香甜粟米棒
HKLZM57862,1,榛果风味拿铁(热)
HKLZM57862,2,拿铁咖啡
HKLZM57860,1,双层鸡排堡单人套餐
HKLZM57860,2,翅桶(10翅1桶)
HKLZM57860,3,九龙金玉珍珠奶茶
HKLZM57881,1,拿铁咖啡
HKLZM57881,2,新春特餐
HKLZM57880,1,拿铁咖啡
HKLZM57871,1,小龙虾双人套餐
HKLZM57871,2,葡式蛋挞
HKLZM57871,3,新春特餐
HKLZM57859,1,双层鸡排堡单人套餐
HKLZM57859,2,海苔岩烧大鸡腿饭
HKLZM57859,3,快乐儿童餐B
HKLZM57859,4,小食拼盘
HKLZM57882,1,翅桶(10翅1桶)
HKLZM57882,2,双层鸡排堡单人套餐
HKLZM57882,3,劲脆鸡腿堡
HKLZM57877,1,超值全家桶
HKLZM57877,2,拿铁咖啡
HKLZM57877,3,新春特餐
HKLZM57900,1,圣代（巧克力）
HKLZM57900,2,新春特餐
HKLZM57883,1,双层鸡排堡单人套餐
HKLZM57883,2,九龙金玉珍珠奶茶
HKLZM57856,1,恋桃乌龙茶
HKLZM57856,2,劲脆鸡腿堡
HKLZM57943,1,嫩牛五方
HKLZM57943,2,愤怒的汉堡套餐
HKLZM57943,3,九龙金玉珍珠奶茶
HKLZM57953,1,热辣香骨鸡
HKLZM57953,2,快乐儿童餐B
HKLZM57953,3,海苔岩烧大鸡腿饭
HKLZM57953,4,葡式蛋挞
HKLZM57911,1,恋桃乌龙茶
HKLZM57911,2,劲脆鸡腿堡
HKLZM57934,1,愤怒的汉堡套餐
HKLZM57934,2,小龙虾双人套餐
HKLZM57934,3,香辣鸡腿堡
HKLZM57934,4,芙蓉荟蔬汤
HKLZM57945,1,九龙金玉乌龙奶茶
HKLZM57945,2,快乐儿童餐A
HKLZM57945,3,芙蓉荟蔬汤
HKLZM57945,4,快乐儿童餐B
HKLZM57903,1,嫩牛五方
HKLZM57903,2,香辣鸡腿堡
HKLZM57903,3,新春特餐
HKLZM57903,4,新奥尔良烤鸡腿堡
HKLZM57956,1,劲爆鸡米花(大/小)
HKLZM57956,2,新春特餐
HKLZM57956,3,劲脆鸡腿堡
HKLZM57914,1,桃之恋乌龙茶
HKLZM57914,2,小龙虾双人套餐
HKLZM57914,3,九龙金玉珍珠奶茶
HKLZM57925,1,香辣鸡翅
HKLZM57925,2,新奥尔良烤鸡腿堡
HKLZM57912,1,珍宝糯米翅
HKLZM57912,2,九龙金玉珍珠奶茶
HKLZM57912,3,香甜粟米棒
HKLZM57938,1,深海鳕鱼堡
HKLZM57938,2,桃之恋乌龙茶
HKLZM57938,3,小龙虾双人套餐
HKLZM57938,4,九龙金玉珍珠奶茶
HKLZM57938,5,香甜粟米棒
HKLZM57937,1,深海鳕鱼堡
HKLZM57937,2,香辣鸡腿堡
HKLZM57937,3,恋桃乌龙茶
HKLZM57922,1,小龙虾双人套餐
HKLZM57922,2,快乐儿童餐B
HKLZM57922,3,快乐儿童餐A
HKLZM57922,4,圣代（草莓）
HKLZM57935,1,香辣鸡腿堡
HKLZM57935,2,快乐儿童餐A
HKLZM57935,3,快乐儿童餐B
HKLZM57932,1,双层鸡排堡单人套餐
HKLZM57932,2,新春特餐
HKLZM57905,1,桃之恋乌龙茶
HKLZM57905,2,九龙金玉珍珠奶茶
HKLZM57921,1,小龙虾双人套餐
HKLZM57921,2,新春特餐
HKLZM57921,3,葡式蛋挞
HKLZM57923,1,香辣鸡腿堡
HKLZM57904,1,吮指原味鸡
HKLZM57931,1,双层鸡排堡单人套餐
HKLZM57931,2,新春特餐
HKLZM57919,1,香辣鸡翅
HKLZM57936,1,百事可乐
HKLZM57936,2,恋桃乌龙茶
HKLZM57907,1,海苔岩烧大鸡腿饭
HKLZM57907,2,快乐儿童餐B
HKLZM57907,3,劲脆鸡腿堡
HKLZM57909,1,九龙金玉乌龙奶茶
HKLZM57909,2,香辣鸡腿堡
HKLZM57908,1,葡式蛋挞
HKLZM57908,2,百事可乐
HKLZM57910,1,九龙金玉乌龙奶茶
HKLZM57910,2,快乐儿童餐B
HKLZM57910,3,快乐儿童餐A
HKLZM57910,4,新春特餐
HKLZM57910,5,葡式蛋挞
HKLZM57910,6,新奥尔良烤鸡腿堡
HKLZM57918,1,香辣鸡翅
HKLZM57940,1,百事可乐
HKLZM57940,2,新春特餐
HKLZM57940,3,恋桃乌龙茶
HKLZM57940,4,劲脆鸡腿堡
HKLZM57944,1,薯条
HKLZM57924,1,小龙虾双人套餐
HKLZM57950,1,青金桔鲜果茶
HKLZM57950,2,新春特餐
HKLZM57913,1,珍宝糯米翅
HKLZM57913,2,葡式蛋挞
HKLZM57917,1,快乐儿童餐A
HKLZM57917,2,快乐儿童餐B
HKLZM57917,3,九龙金玉珍珠奶茶
HKLZM57917,4,香甜粟米棒
HKLZM57928,1,超值全家桶
HKLZM57949,1,热辣香骨鸡
HKLZM57949,2,超值全家桶
HKLZM57949,3,九龙金玉珍珠奶茶
HKLZM57948,1,热辣香骨鸡
HKLZM57948,2,新春特餐
HKLZM57954,1,热辣香骨鸡
HKLZM57954,2,劲脆鸡腿堡
HKLZM57954,3,新春特餐
HKLZM57916,1,小龙虾双人套餐
HKLZM57916,2,桃之恋乌龙茶
HKLZM57916,3,香辣鸡腿堡
HKLZM57916,4,新奥尔良烤鸡腿堡
HKLZM57947,1,热辣香骨鸡
HKLZM57947,2,葡式蛋挞
HKLZM57920,1,小龙虾双人套餐
HKLZM57920,2,新春特餐
HKLZM57915,1,小龙虾双人套餐
HKLZM57915,2,圣代（草莓）
HKLZM57915,3,桃之恋乌龙茶
HKLZM57930,1,双层鸡排堡单人套餐
HKLZM57930,2,翅桶(10翅1桶)
HKLZM57930,3,海苔岩烧大鸡腿饭
HKLZM57930,4,快乐儿童餐B
HKLZM57930,5,新春特餐
HKLZM57929,1,翅桶(10翅1桶)
HKLZM57929,2,双层鸡排堡单人套餐
HKLZM57929,3,小食拼盘
HKLZM57901,1,青金桔鲜果茶
HKLZM57946,1,劲爆鸡米花(大/小)
HKLZM57946,2,新春特餐
HKLZM57946,3,葡式蛋挞
HKLZM57902,1,青金桔鲜果茶
HKLZM57902,2,新奥尔良烤鸡腿堡
HKLZM57902,3,圣代（草莓）
HKLZM57906,1,小龙虾双人套餐
HKLZM57906,2,香辣鸡腿堡
HKLZM57906,3,恋桃乌龙茶
HKLZM57939,1,上校鸡块
HKLZM57939,2,恋桃乌龙茶
HKLZM57939,3,劲脆鸡腿堡
HKLZM57926,1,拿铁咖啡
HKLZM57926,2,劲脆鸡腿堡
HKLZM57926,3,恋桃乌龙茶
HKLZM57927,1,快乐儿童餐B
HKLZM57927,2,新春特餐
HKLZM57955,1,热辣香骨鸡
HKLZM57955,2,劲脆鸡腿堡
HKLZM57952,1,热辣香骨鸡
HKLZM57952,2,圣代（草莓）
HKLZM57951,1,青金桔鲜果茶
HKLZM57951,2,拿铁咖啡
HKLZM57951,3,吮指原味鸡
HKLZM57951,4,恋桃乌龙茶
HKLZM57933,1,双层鸡排堡单人套餐
HKLZM57933,2,新春特餐
HKLZM57941,1,热辣香骨鸡
HKLZM57941,2,新春特餐
HKLZM57957,1,圣代（巧克力）
HKLZM57942,1,劲爆鸡米花(大/小)
HKLZM57942,2,快乐儿童餐B
HKLZM57942,3,海苔岩烧大鸡腿饭
HKLZM57942,4,新春特餐
HKLZM58007,1,劲爆鸡米花(大/小)
HKLZM57969,1,新奥尔良烤鸡腿堡
HKLZM57969,2,圣代（草莓）
HKLZM57992,1,小龙虾双人套餐
HKLZM57992,2,愤怒的汉堡套餐
HKLZM57992,3,香辣鸡腿堡
HKLZM57992,4,快乐儿童餐B
HKLZM57992,5,快乐儿童餐A
HKLZM57992,6,新春特餐
HKLZM57958,1,新春特餐
HKLZM57967,1,九龙金玉珍珠奶茶
HKLZM57966,1,九龙金玉珍珠奶茶
HKLZM57970,1,超值全家桶
HKLZM57970,2,九龙金玉珍珠奶茶
HKLZM57995,1,小龙虾双人套餐
HKLZM57995,2,愤怒的汉堡套餐
HKLZM57993,1,愤怒的汉堡套餐
HKLZM57993,2,小龙虾双人套餐
HKLZM57993,3,九龙金玉珍珠奶茶
HKLZM57962,1,九龙金玉珍珠奶茶
HKLZM58002,1,嫩牛五方
HKLZM57996,1,恋桃乌龙茶
HKLZM57996,2,葡式蛋挞
HKLZM58017,1,劲爆鸡米花(大/小)
HKLZM58017,2,翅桶(10翅1桶)
HKLZM57994,1,香辣鸡腿堡
HKLZM57994,2,新春特餐
HKLZM57994,3,葡式蛋挞
HKLZM58000,1,嫩牛五方
HKLZM58000,2,香辣鸡腿堡
HKLZM58000,3,土豆泥
HKLZM58001,1,嫩牛五方
HKLZM58001,2,香辣鸡腿堡
HKLZM58001,3,小食拼盘
HKLZM57998,1,深海鳕鱼堡
HKLZM57998,2,桃之恋乌龙茶
HKLZM57998,3,小龙虾双人套餐
HKLZM57998,4,九龙金玉珍珠奶茶
HKLZM57999,1,深海鳕鱼堡
HKLZM57999,2,香辣鸡翅
HKLZM57999,3,恋桃乌龙茶
HKLZM57997,1,深海鳕鱼堡
HKLZM57997,2,新春特餐
HKLZM57959,1,吮指原味鸡
HKLZM57959,2,拿铁咖啡
HKLZM57959,3,新春特餐
HKLZM57959,4,圣代（草莓）
HKLZM58015,1,青金桔鲜果茶
HKLZM58015,2,恋桃乌龙茶
HKLZM58003,1,圣代（巧克力）
HKLZM58003,2,新春特餐
HKLZM57980,1,香辣鸡翅
HKLZM57980,2,新奥尔良烤鸡腿堡
HKLZM57985,1,小龙虾双人套餐
HKLZM57985,2,新春特餐
HKLZM57965,1,深海鳕鱼堡
HKLZM57965,2,新奥尔良烤鸡腿堡
HKLZM58005,1,深海鳕鱼堡
HKLZM58005,2,香辣鸡翅
HKLZM58005,3,恋桃乌龙茶
HKLZM58005,4,葡式蛋挞
HKLZM57971,1,超值全家桶
HKLZM57971,2,拿铁咖啡
HKLZM57971,3,葡式蛋挞
HKLZM57971,4,新春特餐
HKLZM57963,1,百事可乐
HKLZM57963,2,海苔岩烧大鸡腿饭
HKLZM57963,3,快乐儿童餐B
HKLZM57986,1,珍宝糯米翅
HKLZM57986,2,葡式蛋挞
HKLZM57964,1,薯条
HKLZM57964,2,拿铁咖啡
HKLZM57964,3,榛果风味拿铁(热)
HKLZM57964,4,新春特餐
HKLZM57964,5,劲脆鸡腿堡
HKLZM58008,1,薯条
HKLZM58008,2,拿铁咖啡
HKLZM58008,3,榛果风味拿铁(热)
HKLZM58008,4,新春特餐
HKLZM58009,1,薯条
HKLZM57987,1,拿铁咖啡
HKLZM57987,2,吮指原味鸡
HKLZM57987,3,小食拼盘
HKLZM57987,4,新春特餐
HKLZM57987,5,新奥尔良烤鸡腿堡
HKLZM57987,6,葡式蛋挞
HKLZM57961,1,超值全家桶
HKLZM57961,2,拿铁咖啡
HKLZM58016,1,青金桔鲜果茶
HKLZM58016,2,新春特餐
HKLZM57981,1,快乐儿童餐A
HKLZM57981,2,葡式蛋挞
HKLZM57981,3,新春特餐
HKLZM57990,1,拿铁咖啡
HKLZM57990,2,新春特餐
HKLZM57979,1,快乐儿童餐A
HKLZM57979,2,快乐儿童餐B
HKLZM57979,3,新春特餐
HKLZM58006,1,热辣香骨鸡
HKLZM58014,1,热辣香骨鸡
HKLZM58014,2,海苔岩烧大鸡腿饭
HKLZM58014,3,快乐儿童餐B
HKLZM58014,4,恋桃乌龙茶
HKLZM57984,1,小龙虾双人套餐
HKLZM57984,2,九龙金玉珍珠奶茶
HKLZM57988,1,拿铁咖啡
HKLZM57988,2,九龙金玉珍珠奶茶
HKLZM57991,1,双层鸡排堡单人套餐
HKLZM57991,2,小食拼盘
HKLZM57976,1,拿铁咖啡
HKLZM57976,2,榛果风味拿铁(热)
HKLZM57976,3,九龙金玉珍珠奶茶
HKLZM57978,1,榛果风味拿铁(热)
HKLZM58011,1,劲爆鸡米花(大/小)
HKLZM58012,1,劲爆鸡米花(大/小)
HKLZM58013,1,劲爆鸡米花(大/小)
HKLZM58013,2,翅桶(10翅1桶)
HKLZM58013,3,双层鸡排堡单人套餐
HKLZM58013,4,新春特餐
HKLZM57975,1,榛果风味拿铁(热)
HKLZM57975,2,拿铁咖啡
HKLZM57975,3,九龙金玉珍珠奶茶
HKLZM57975,4,小食拼盘套餐
HKLZM58010,1,上校鸡块
HKLZM58010,2,新春特餐
HKLZM57974,1,拿铁咖啡
HKLZM57974,2,榛果风味拿铁(热)
HKLZM57974,3,九龙金玉珍珠奶茶
HKLZM57989,1,超值全家桶
HKLZM57989,2,劲脆鸡腿堡
HKLZM57977,1,珍宝糯米翅
HKLZM57977,2,小龙虾双人套餐
HKLZM57977,3,九龙金玉珍珠奶茶
HKLZM57973,1,小龙虾双人套餐
HKLZM57973,2,珍宝糯米翅
HKLZM57973,3,新春特餐
HKLZM57973,4,恋桃乌龙茶
HKLZM58004,1,圣代（巧克力）
HKLZM58004,2,快乐儿童餐B
HKLZM58004,3,海苔岩烧大鸡腿饭
HKLZM58004,4,恋桃乌龙茶
HKLZM57960,1,小龙虾双人套餐
HKLZM57960,2,愤怒的汉堡套餐
HKLZM57960,3,九龙金玉珍珠奶茶
HKLZM57960,4,土豆泥
HKLZM57972,1,翅桶(10翅1桶)
HKLZM58018,1,圣代（巧克力）
HKLZM58018,2,劲脆鸡腿堡
HKLZM57983,1,香辣鸡翅
HKLZM57983,2,葡式蛋挞
HKLZM57982,1,香辣鸡翅
HKLZM57968,1,拿铁咖啡
HKLZM58039,1,吮指原味鸡
HKLZM58061,1,嫩牛五方
HKLZM58061,2,快乐儿童餐B
HKLZM58061,3,快乐儿童餐A
HKLZM58019,1,嫩牛五方
HKLZM58019,2,快乐儿童餐A
HKLZM58019,3,快乐儿童餐B
HKLZM58020,1,嫩牛五方
HKLZM58020,2,香辣鸡腿堡
HKLZM58020,3,九龙金玉珍珠奶茶
HKLZM58047,1,愤怒的汉堡套餐
HKLZM58047,2,新春特餐
HKLZM58070,1,劲爆鸡米花(大/小)
HKLZM58070,2,海苔岩烧大鸡腿饭
HKLZM58070,3,快乐儿童餐B
HKLZM58054,1,劲脆鸡腿堡
HKLZM58066,1,嫩牛五方
HKLZM58066,2,香辣鸡腿堡
HKLZM58066,3,新春特餐
HKLZM58064,1,嫩牛五方
HKLZM58064,2,愤怒的汉堡套餐
HKLZM58064,3,小龙虾双人套餐
HKLZM58064,4,新春特餐
HKLZM58064,5,恋桃乌龙茶
HKLZM58065,1,嫩牛五方
HKLZM58065,2,香辣鸡腿堡
HKLZM58065,3,新春特餐
HKLZM58053,1,愤怒的汉堡套餐
HKLZM58038,1,翅桶(10翅1桶)
HKLZM58038,2,双层鸡排堡单人套餐
HKLZM58038,3,九龙金玉珍珠奶茶
HKLZM58055,1,香辣鸡腿堡
HKLZM58055,2,新春特餐
HKLZM58026,1,新奥尔良烤鸡腿堡
HKLZM58042,1,拿铁咖啡
HKLZM58042,2,榛果风味拿铁(热)
HKLZM58042,3,新春特餐
HKLZM58035,1,深海鳕鱼堡
HKLZM58035,2,新奥尔良烤鸡腿堡
HKLZM58028,1,新春特餐
HKLZM58022,1,吮指原味鸡
HKLZM58022,2,拿铁咖啡
HKLZM58022,3,九龙金玉珍珠奶茶
HKLZM58049,1,快乐儿童餐A
HKLZM58049,2,快乐儿童餐B
HKLZM58049,3,新春特餐
HKLZM58048,1,小龙虾双人套餐
HKLZM58048,2,珍宝糯米翅
HKLZM58048,3,九龙金玉珍珠奶茶
HKLZM58021,1,吮指原味鸡
HKLZM58021,2,拿铁咖啡
HKLZM58045,1,小龙虾双人套餐
HKLZM58060,1,九龙金玉乌龙奶茶
HKLZM58057,1,薯条
HKLZM58057,2,新春特餐
HKLZM58059,1,百事可乐
HKLZM58059,2,新奥尔良烤鸡腿堡
HKLZM58059,3,劲脆鸡腿堡
HKLZM58029,1,葡式蛋挞
HKLZM58052,1,双层鸡排堡单人套餐
HKLZM58052,2,香甜粟米棒
HKLZM58050,1,珍宝糯米翅
HKLZM58046,1,吮指原味鸡
HKLZM58046,2,拿铁咖啡
HKLZM58023,1,小龙虾双人套餐
HKLZM58023,2,桃之恋乌龙茶
HKLZM58023,3,新春特餐
HKLZM58024,1,香辣鸡腿堡
HKLZM58024,2,新春特餐
HKLZM58058,1,薯条
HKLZM58058,2,新春特餐
HKLZM58058,3,新奥尔良烤鸡腿堡
HKLZM58056,1,薯条
HKLZM58056,2,榛果风味拿铁(热)
HKLZM58056,3,拿铁咖啡
HKLZM58056,4,九龙金玉珍珠奶茶
HKLZM58033,1,百事可乐
HKLZM58033,2,新春特餐
HKLZM58063,1,热辣香骨鸡
HKLZM58043,1,小龙虾双人套餐
HKLZM58043,2,桃之恋乌龙茶
HKLZM58043,3,九龙金玉珍珠奶茶
HKLZM58034,1,薯条
HKLZM58034,2,海苔岩烧大鸡腿饭
HKLZM58034,3,快乐儿童餐B
HKLZM58034,4,葡式蛋挞
HKLZM58069,1,热辣香骨鸡
HKLZM58069,2,快乐儿童餐B
HKLZM58069,3,海苔岩烧大鸡腿饭
HKLZM58069,4,新春特餐
HKLZM58069,5,葡式蛋挞
HKLZM58041,1,榛果风味拿铁(热)
HKLZM58041,2,拿铁咖啡
HKLZM58068,1,劲爆鸡米花(大/小)
HKLZM58068,2,恋桃乌龙茶
HKLZM58068,3,葡式蛋挞
HKLZM58067,1,上校鸡块
HKLZM58067,2,新春特餐
HKLZM58040,1,拿铁咖啡
HKLZM58040,2,超值全家桶
HKLZM58040,3,芙蓉荟蔬汤
HKLZM58051,1,超值全家桶
HKLZM58051,2,九龙金玉珍珠奶茶
HKLZM58031,1,拿铁咖啡
HKLZM58031,2,新春特餐
HKLZM58025,1,香辣鸡翅
HKLZM58025,2,恋桃乌龙茶
HKLZM58062,1,热辣香骨鸡
HKLZM58044,1,香辣鸡翅
HKLZM58036,1,劲脆鸡腿堡
HKLZM58037,1,吮指原味鸡
HKLZM58037,2,拿铁咖啡
HKLZM58032,1,拿铁咖啡
HKLZM58032,2,新春特餐
HKLZM58027,1,快乐儿童餐A
HKLZM58027,2,快乐儿童餐B
HKLZM58027,3,小食拼盘
HKLZM58030,1,新奥尔良烤鸡腿堡
HKLZM58082,1,拿铁咖啡
HKLZM58082,2,新春特餐
HKLZM58081,1,恋桃乌龙茶
HKLZM58084,1,双层鸡排堡单人套餐
HKLZM58084,2,劲脆鸡腿堡
HKLZM58084,3,新奥尔良烤鸡腿堡
HKLZM58083,1,小食拼盘套餐
HKLZM58073,1,海苔岩烧大鸡腿饭
HKLZM58073,2,快乐儿童餐B
HKLZM58073,3,圣代（草莓）
HKLZM58111,1,嫩牛五方
HKLZM58074,1,香甜粟米棒
HKLZM58074,2,土豆泥
HKLZM58071,1,嫩牛五方
HKLZM58071,2,香辣鸡腿堡
HKLZM58071,3,香甜粟米棒
HKLZM58116,1,嫩牛五方
HKLZM58116,2,快乐儿童餐A
HKLZM58116,3,快乐儿童餐B
HKLZM58116,4,新春特餐
HKLZM58102,1,快乐儿童餐B
HKLZM58102,2,快乐儿童餐A
HKLZM58102,3,新春特餐
HKLZM58094,1,快乐儿童餐B
HKLZM58094,2,圣代（草莓）
HKLZM58117,1,嫩牛五方
HKLZM58117,2,小食拼盘
HKLZM58072,1,嫩牛五方
HKLZM58072,2,圣代（草莓）
HKLZM58072,3,小食拼盘
HKLZM58110,1,嫩牛五方
HKLZM58110,2,香辣鸡腿堡
HKLZM58108,1,香辣鸡腿堡
HKLZM58108,2,葡式蛋挞
HKLZM58108,3,新春特餐
HKLZM58107,1,双层鸡排堡单人套餐
HKLZM58107,2,小食拼盘
HKLZM58097,1,小龙虾双人套餐
HKLZM58097,2,新春特餐
HKLZM58096,1,小龙虾双人套餐
HKLZM58096,2,新春特餐
HKLZM58099,1,小龙虾双人套餐
HKLZM58099,2,愤怒的汉堡套餐
HKLZM58099,3,新春特餐
HKLZM58099,4,新奥尔良烤鸡腿堡
HKLZM58095,1,快乐儿童餐B
HKLZM58086,1,榛果风味拿铁(热)
HKLZM58086,2,拿铁咖啡
HKLZM58086,3,芙蓉荟蔬汤
HKLZM58078,1,百事可乐
HKLZM58078,2,新春特餐
HKLZM58077,1,百事可乐
HKLZM58112,1,上校鸡块
HKLZM58112,2,新春特餐
HKLZM58105,1,吮指原味鸡
HKLZM58100,1,快乐儿童餐B
HKLZM58101,1,吮指原味鸡
HKLZM58101,2,拿铁咖啡
HKLZM58101,3,新春特餐
HKLZM58113,1,薯条
HKLZM58113,2,新春特餐
