quality,fixed acidity,volatile acidity,citric acid,residual sugar,odor,chlorides,free sulfur dioxide,total sulfur dioxide,brew,alcohol,habitat
high,A,Medium,w,no,none,free,no,Low,pink,mild,upper
high,A,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,A,High,g,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,w,no,none,free,no,Low,pink,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,w,yes,anise,free,yes,Low,white,strong,upper
high,A,Very High,w,yes,anise,free,yes,Low,black,strong,support
high,D,High,g,no,none,free,no,Low,pink,mild,upper
high,D,High,w,no,none,free,no,Low,black,mild,upper
high,D,High,b,no,none,free,no,Low,brown,mild,upper
high,D,High,w,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,A,High,b,no,none,free,no,Low,brown,mild,upper
high,B,Very High,y,yes,almond,free,yes,Low,gray,strong,support
low,D,Very High,w,yes,pungent,free,yes,High,black,strong,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,D,High,b,no,none,free,no,Low,black,mild,upper
high,A,Very High,b,yes,almond,free,yes,Low,brown,strong,upper
high,A,High,g,no,none,free,no,Low,brown,mild,upper
high,D,High,w,no,none,free,no,Low,black,mild,upper
low,A,High,b,yes,pungent,free,yes,High,brown,strong,top
high,D,High,g,no,none,free,no,Low,brown,mild,upper
high,A,Medium,w,no,none,free,no,Low,pink,mild,upper
low,D,High,b,yes,pungent,free,yes,High,brown,strong,upper
high,A,Medium,b,no,none,free,no,Low,pink,mild,upper
high,A,High,b,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,D,High,w,no,none,free,no,Low,pink,mild,upper
low,D,High,w,yes,pungent,free,yes,High,pink,strong,top
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,D,High,g,no,none,free,no,Low,pink,mild,upper
high,A,Medium,w,no,none,free,no,Low,brown,mild,upper
high,D,Very High,b,yes,anise,free,yes,Low,white,strong,upper
low,D,High,w,yes,pungent,free,yes,High,white,strong,upper
high,A,Medium,w,no,none,free,no,Low,pink,mild,upper
high,D,Medium,b,no,none,free,yes,High,pink,strong,top
low,D,Very High,b,yes,pungent,free,yes,High,white,strong,top
high,D,High,w,no,none,free,no,Low,brown,mild,upper
high,A,Medium,g,no,none,free,no,Low,black,mild,upper
high,D,Very High,y,yes,almond,free,yes,Low,brown,strong,canopy
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
low,D,Very High,b,yes,pungent,free,yes,High,brown,strong,upper
high,D,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,g,no,none,free,no,Low,black,mild,upper
high,A,Medium,b,no,none,free,no,Low,brown,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,High,g,no,none,free,no,Low,black,mild,upper
high,A,High,g,no,none,free,no,Low,brown,mild,upper
high,A,Medium,w,no,none,free,no,Low,black,mild,upper
high,D,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,High,w,no,none,free,no,Low,pink,mild,upper
low,A,High,w,yes,pungent,free,yes,High,brown,strong,top
high,D,High,g,no,none,free,no,Low,brown,mild,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,y,yes,almond,free,yes,Low,pink,strong,upper
high,A,High,g,no,none,free,no,Low,black,mild,upper
high,A,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,w,no,none,free,no,Low,black,mild,upper
high,A,Very High,y,yes,almond,free,yes,Low,black,strong,upper
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,w,no,none,free,no,Low,pink,mild,upper
high,A,Medium,w,no,none,free,no,Low,brown,mild,upper
low,D,High,b,yes,pungent,free,yes,High,brown,strong,top
low,D,High,w,yes,pungent,free,yes,High,black,strong,top
high,A,High,b,no,none,free,no,Low,pink,mild,upper
high,A,Medium,g,no,none,free,yes,High,brown,strong,top
high,D,High,b,no,none,free,no,Low,pink,mild,upper
high,A,High,w,no,none,free,no,Low,black,mild,upper
low,D,High,w,yes,pungent,free,yes,High,white,strong,upper
high,B,High,y,yes,almond,free,yes,Low,black,strong,upper
high,A,Medium,b,no,none,free,no,Low,chocolate,mild,upper
low,D,Very High,b,yes,pungent,free,yes,High,brown,strong,top
high,A,High,g,no,none,free,no,Low,chocolate,mild,upper
high,A,High,g,no,none,free,no,Low,black,mild,upper
high,A,High,w,no,none,free,no,Low,brown,mild,upper
low,D,High,w,yes,pungent,free,yes,High,brown,strong,top
high,D,High,w,no,none,free,no,Low,black,mild,upper
high,A,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,b,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,no,none,free,no,Low,pink,mild,upper
low,D,Very High,b,yes,pungent,free,yes,High,black,strong,upper
high,A,Medium,w,no,none,free,no,Low,pink,mild,upper
high,D,High,w,no,none,free,no,Low,pink,mild,upper
low,D,Very High,w,yes,pungent,free,yes,High,black,strong,top
high,D,High,g,no,none,free,no,Low,pink,mild,upper
high,D,Very High,b,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,D,Very High,r,yes,none,free,yes,Low,pink,mild,medium
high,D,High,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,g,no,none,free,no,Low,pink,mild,upper
low,D,High,b,yes,pungent,free,yes,High,brown,strong,upper
high,D,Medium,b,yes,none,free,yes,Low,brown,mild,medium
low,A,High,b,yes,pungent,free,yes,High,brown,strong,upper
high,A,High,w,yes,almond,free,yes,Low,brown,strong,upper
high,A,High,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,y,yes,almond,free,yes,Low,gray,strong,upper
low,A,Medium,g,no,fruit,free,yes,Low,chocolate,strong,upper
high,D,High,b,no,none,free,no,Low,black,mild,upper
high,D,High,w,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,D,High,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,b,no,none,free,no,Low,chocolate,mild,upper
low,A,High,w,yes,pungent,free,yes,High,pink,strong,top
high,D,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,w,yes,anise,free,yes,Low,black,strong,upper
high,D,Medium,g,no,none,free,no,Low,brown,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,brown,mild,medium
high,D,Medium,w,no,none,free,no,Low,brown,mild,upper
high,A,High,g,no,none,free,no,Low,pink,mild,upper
high,A,Very High,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,D,High,w,no,none,free,no,Low,brown,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,b,yes,none,free,yes,Low,pink,mild,medium
high,A,High,g,no,none,free,no,Low,brown,mild,upper
high,A,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,w,no,none,free,no,Low,pink,mild,upper
high,A,Very High,g,yes,none,free,yes,Low,pink,mild,medium
low,D,Very High,b,yes,pungent,free,yes,High,black,strong,top
high,A,Very High,r,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,w,no,none,free,no,Low,pink,mild,upper
high,D,High,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,g,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,r,yes,none,free,yes,Low,brown,mild,medium
high,A,High,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,r,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,y,yes,almond,free,no,High,white,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,white,mild,medium
low,D,High,w,yes,pungent,free,yes,High,white,strong,upper
high,A,High,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,white,mild,medium
high,A,High,g,no,none,free,no,Low,brown,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,purple,mild,medium
high,A,High,w,no,none,free,no,Low,pink,mild,upper
high,A,High,b,no,none,free,no,Low,brown,mild,upper
high,A,High,w,no,none,free,no,Low,brown,mild,upper
high,A,High,b,no,none,free,no,Low,brown,mild,upper
high,D,Medium,r,yes,none,free,yes,Low,brown,mild,medium
high,D,Medium,w,no,none,free,no,Low,brown,mild,upper
high,D,Medium,g,no,none,free,no,Low,black,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,pink,mild,medium
high,D,High,b,no,none,free,no,Low,chocolate,mild,upper
high,A,High,w,no,none,free,no,Low,brown,mild,upper
high,A,High,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,w,no,none,free,no,Low,black,mild,upper
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,w,yes,anise,free,no,High,pink,mild,medium
high,D,Medium,w,no,none,free,no,Low,black,mild,upper
low,D,Very High,w,yes,pungent,free,yes,High,brown,strong,upper
high,D,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,A,High,w,no,none,free,no,Low,black,mild,upper
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,A,High,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,b,no,none,free,no,Low,brown,mild,upper
high,A,High,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,b,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,D,High,g,no,none,free,no,Low,black,mild,upper
high,D,High,b,no,none,free,no,Low,brown,mild,upper
high,A,High,g,no,none,free,no,Low,pink,mild,upper
high,D,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,A,High,w,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,b,no,none,free,no,Low,black,mild,upper
high,D,High,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,g,no,none,free,no,Low,black,mild,upper
high,D,Medium,b,no,none,free,no,Low,black,mild,upper
high,D,Medium,b,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,D,High,g,no,none,free,no,Low,chocolate,mild,upper
high,D,High,w,no,none,free,no,Low,brown,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,g,no,none,free,no,Low,pink,mild,upper
high,D,Very High,y,yes,anise,free,yes,Low,pink,strong,upper
low,D,Very High,w,yes,pungent,free,yes,High,white,strong,top
high,D,High,b,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,b,no,none,free,no,Low,black,mild,upper
high,D,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,g,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,no,none,free,no,Low,brown,mild,upper
high,A,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,b,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,no,none,free,no,Low,pink,mild,upper
high,D,High,w,no,none,free,no,Low,chocolate,mild,upper
high,D,High,g,no,none,free,no,Low,pink,mild,upper
low,D,Very High,w,yes,pungent,free,yes,High,white,strong,top
high,B,High,w,yes,almond,free,yes,Low,black,strong,upper
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,g,no,none,free,no,Low,black,mild,upper
high,A,Medium,b,no,none,free,no,Low,black,mild,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,D,High,w,yes,anise,free,no,High,brown,mild,medium
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,A,High,w,no,none,free,no,Low,chocolate,mild,upper
high,A,High,g,no,none,free,no,Low,black,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,D,Medium,w,no,none,free,no,Low,black,mild,upper
high,D,High,b,no,none,free,no,Low,brown,mild,upper
low,D,High,w,yes,pungent,free,yes,High,black,strong,top
high,D,Medium,b,no,none,free,no,Low,pink,mild,upper
high,A,Very High,g,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,no,none,free,no,Low,pink,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
low,A,High,w,yes,pungent,free,yes,High,pink,strong,upper
high,A,Medium,b,no,none,free,no,Low,black,mild,upper
high,A,Very High,b,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,pink,mild,medium
low,D,Very High,b,yes,pungent,free,yes,High,white,strong,upper
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,no,none,free,no,Low,black,mild,upper
high,D,High,w,no,none,free,no,Low,chocolate,mild,upper
high,D,High,b,no,none,free,no,Low,pink,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,white,mild,medium
high,D,High,b,no,none,free,no,Low,black,mild,upper
high,D,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,D,High,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,b,no,none,free,no,Low,black,mild,upper
high,D,Medium,b,no,none,free,no,Low,chocolate,mild,upper
low,A,High,b,yes,pungent,free,yes,High,white,strong,top
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,D,High,b,no,none,free,no,Low,black,mild,upper
low,D,Very High,w,yes,pungent,free,yes,High,brown,strong,upper
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,no,none,free,no,Low,pink,mild,upper
high,A,Medium,r,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,w,no,none,free,no,Low,pink,mild,upper
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,w,yes,anise,free,yes,Low,black,strong,support
high,A,High,w,no,none,free,no,Low,pink,mild,upper
high,A,Very High,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,A,High,g,no,none,free,no,Low,brown,mild,upper
low,D,Very High,w,yes,pungent,free,yes,High,brown,strong,top
high,A,Medium,r,yes,none,free,yes,Low,white,mild,medium
low,D,High,b,yes,pungent,free,yes,High,brown,strong,top
low,D,Very High,b,yes,pungent,free,yes,High,white,strong,upper
high,A,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,D,High,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,D,High,b,no,none,free,no,Low,pink,mild,upper
high,D,Medium,b,no,none,free,no,Low,pink,mild,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,purple,mild,medium
high,D,High,b,no,none,free,no,Low,black,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
low,D,Very High,w,yes,pungent,free,yes,High,white,strong,top
high,A,Very High,y,yes,anise,free,yes,Low,brown,strong,upper
low,D,High,b,yes,pungent,free,yes,High,pink,strong,upper
high,D,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,b,no,none,free,no,Low,brown,mild,upper
low,D,High,b,yes,pungent,free,yes,High,white,strong,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,A,Medium,b,no,none,free,no,Low,brown,mild,upper
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,no,none,free,no,Low,black,mild,upper
high,A,Medium,w,no,none,free,no,Low,black,mild,upper
high,D,High,g,no,none,free,no,Low,pink,mild,upper
high,D,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,D,High,y,yes,almond,free,no,High,brown,mild,medium
high,D,Medium,w,yes,almond,free,no,High,brown,mild,medium
high,D,Medium,b,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,no,none,free,no,Low,black,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,High,b,no,none,free,no,Low,chocolate,mild,upper
high,B,Very High,w,yes,anise,free,yes,Low,black,strong,support
high,A,Very High,r,yes,none,free,yes,Low,purple,mild,medium
high,D,High,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,r,yes,none,free,yes,Low,white,mild,medium
high,D,Very High,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,purple,mild,medium
high,A,High,g,no,none,free,no,Low,pink,mild,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,A,Medium,g,no,none,free,no,Low,pink,mild,upper
high,A,High,g,no,none,free,no,Low,brown,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,g,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,b,no,none,free,no,Low,black,mild,upper
high,D,High,b,no,none,free,no,Low,brown,mild,upper
high,A,Medium,w,no,none,free,no,Low,brown,mild,upper
high,A,Very High,y,yes,almond,free,yes,Low,pink,strong,canopy
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,b,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,w,no,none,free,no,Low,black,mild,upper
high,A,Very High,w,yes,almond,free,yes,Low,black,strong,support
high,A,High,b,no,none,free,no,Low,pink,mild,upper
high,D,High,w,no,none,free,no,Low,pink,mild,upper
high,D,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,w,no,none,free,no,Low,black,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,w,no,none,free,no,Low,pink,mild,upper
high,A,High,w,yes,almond,free,yes,Low,brown,strong,support
high,D,High,g,no,none,free,no,Low,brown,mild,upper
low,D,Very High,b,yes,pungent,free,yes,High,brown,strong,upper
high,D,Medium,g,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,w,no,none,free,no,Low,brown,mild,upper
high,A,Very High,b,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,pink,mild,medium
low,D,High,b,yes,pungent,free,yes,High,brown,strong,top
high,D,High,g,no,none,free,no,Low,pink,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,D,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
low,A,High,w,yes,pungent,free,yes,High,pink,strong,top
high,A,High,y,yes,anise,free,yes,Low,black,strong,support
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,D,Very High,b,yes,none,free,yes,Low,white,mild,medium
high,A,High,g,no,none,free,no,Low,brown,mild,upper
high,A,Very High,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,g,no,none,free,no,Low,black,mild,upper
high,D,High,w,no,none,free,no,Low,pink,mild,upper
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,g,no,none,free,no,Low,brown,mild,upper
high,D,Medium,g,no,none,free,no,Low,brown,mild,upper
high,D,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,brown,mild,medium
low,D,Very High,b,yes,pungent,free,yes,High,pink,strong,top
high,A,Very High,g,yes,none,free,yes,Low,pink,mild,medium
high,A,High,w,no,none,free,no,Low,black,mild,upper
high,B,High,w,yes,almond,free,yes,Low,gray,strong,support
high,A,High,w,no,none,free,no,Low,chocolate,mild,upper
high,D,Medium,b,no,none,free,no,Low,black,mild,upper
high,A,Very High,g,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,no,none,free,no,Low,pink,mild,upper
low,A,High,w,yes,pungent,free,yes,High,brown,strong,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,A,Very High,g,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,white,mild,medium
high,D,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,purple,mild,medium
low,A,High,w,yes,pungent,free,yes,High,white,strong,upper
high,A,Medium,r,yes,none,free,yes,Low,brown,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,brown,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,pink,mild,medium
high,D,Very High,r,yes,none,free,yes,Low,brown,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,D,Very High,g,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,brown,mild,medium
low,A,Medium,g,no,fruit,free,yes,Low,pink,strong,upper
low,D,High,w,yes,pungent,free,yes,High,pink,strong,upper
high,A,Medium,r,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,b,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,g,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,white,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,r,yes,none,free,yes,Low,brown,mild,medium
high,D,Very High,b,yes,none,free,yes,Low,pink,mild,medium
high,D,Very High,b,yes,none,free,yes,Low,brown,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,brown,mild,medium
low,D,High,b,yes,pungent,free,yes,High,brown,strong,top
high,D,Medium,r,yes,none,free,yes,Low,purple,mild,medium
low,A,High,w,yes,pungent,free,yes,High,white,strong,upper
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,r,yes,none,free,yes,Low,pink,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,brown,mild,medium
high,A,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,brown,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,white,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,b,yes,none,free,yes,Low,purple,mild,medium
high,A,Medium,r,yes,none,free,yes,Low,pink,mild,medium
high,D,Medium,g,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,b,yes,none,free,yes,Low,purple,mild,medium
high,D,Medium,b,yes,none,free,yes,Low,purple,mild,medium
